DAS,Radn,tmax,tmin,VPDobs,type
30,27,32.3,16.4,19,warm
31,27,31,15.8,17,warm
32,14,26.6,15.6,16,warm
33,24,26,10,14,warm
34,23,26.6,11.7,12,warm
35,21,29.5,13,15,warm
36,23,30.8,16.5,18,warm
37,25,32.5,13.8,19,warm
38,17,32.3,16.7,23,warm
39,14,25.2,16.7,21,warm
40,26,27.8,15.8,15,warm
41,26,28.2,12.8,14,warm
42,10,27.3,17.3,20,warm
43,26,28.6,11.3,16,warm
44,30,28.6,13.7,17,warm
45,27,28.3,13.4,17,warm
46,27,27.6,13.7,15,warm
47,29,31,12.2,15,warm
48,27,35,14.7,16,warm
49,26,34.3,20.4,17,warm
50,25,31.2,15.5,18,warm
51,23,32.7,17.9,21,warm
52,14,29.9,18.4,22,warm
53,25,30.8,16,17,warm
54,22,31.2,16.1,18,warm
55,20,28.4,18,20,warm
56,22,27.7,14.9,18,warm
57,24,31.4,16,19,warm
58,28,33,16.2,19,warm
59,25,33.2,17.2,20,warm
60,25,32.7,18.3,21,warm
30,27,22.3,6.4,19,cold
31,27,21,5.8,17,cold
32,14,16.6,5.6,16,cold
33,24,16,0,14,cold
34,23,16.6,1.7,12,cold
35,21,19.5,3,15,cold
36,23,20.8,6.5,18,cold
37,25,22.5,3.8,19,cold
38,17,22.3,6.7,23,cold
39,14,15.2,6.7,21,cold
40,26,17.8,5.8,15,cold
41,26,18.2,2.8,14,cold
42,10,17.3,7.3,20,cold
43,26,18.6,1.3,16,cold
44,30,18.6,3.7,17,cold
45,27,18.3,3.4,17,cold
46,27,17.6,3.7,15,cold
47,29,21,2.2,15,cold
48,27,25,4.7,16,cold
49,26,24.3,10.4,17,cold
50,25,21.2,5.5,18,cold
51,23,22.7,7.9,21,cold
52,14,19.9,8.4,22,cold
53,25,20.8,6,17,cold
54,22,21.2,6.1,18,cold
55,20,18.4,8,20,cold
56,22,17.7,4.9,18,cold
57,24,21.4,6,19,cold
58,28,23,6.2,19,cold
59,25,23.2,7.2,20,cold
60,25,22.7,8.3,21,cold
